rating,roaster,title,blind_assessment,notes,bottom_line,roaster_location,coffee_origin,roast_level,est_price,review_date,aroma,acidity,body,flavor,aftertaste,url,with_milk,agtron_external,agtron_ground,is_espresso,quantity_value,quantity_unit,price_value,price_currency,price_usd,cpi,date,price_usd_adj,quantity_in_lbs,price_usd_adj_per_lb
94.0,Chromatic Coffee,Papua New Guinea Kunjin,"Plush, deep, resonant. Apricot and orange, roasted cacao nib, vanilla, a hint of fresh-cut cedar in aroma and cup. Round, soft, though deeply vibrant acidity; full, syrupy mouthfeel. Very sweet finishing, with continued hints of orange and vanilla.","This exceptional coffee was selected as the #14 coffee on Coffee Review’s list of the Top 30 Coffees of 2014. This coffee is produced by small-holder farmers. The high mountain valleys of central Papua New Guinea offer some of the world's most favorable terroirs for production of fine coffee, although the rugged terrain presents daunting transportation and infrastructure challenges. When these coffees are carefully prepared by the traditional wet or washed method, as is the case with this coffee, they can compete with the world’s finest. Chromatic prides itself in doing everything in-house and meticulously, from printing its attractive bags to modifying equipment to sourcing and roasting its exceptionally fine coffees. Visit www.chromaticcoffee.com for more information.",,"San Jose, California","Wahgi Valley, Western Highlands, Papua New Guinea.",Light,$16.50/12 ounces,2014-06-01,9.0,9.0,9.0,9.0,8.0,https://www.coffeereview.com/review/papua-new-guinea-kunjin-2/,,64.0,82.0,False,12.0,ounces,16.5,USD,16.5,238.343,2014-06-01,21.75,0.75,29.0
90.0,JBC Coffee Roasters,Fair Trade Organic Guatemala Maya Ixil Quiche,"A very light roast preserves the essential meadowy sweetness and delicacy of this quiet, pure coffee. Notes of fir, honey, molasses and cherry in aroma and cup. The acidity is light-footed and sweet-toned, the mouthfeel silky. Surprisingly rich finish with a very slight woody flatness in the long.","This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding, indigenous farmers of the Maya Ixil cooperative at a ""fair"" or economically sustainable price. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",,"Madison, Wisconsin","Quiche Department, Guatemala.",Light,,2008-07-01,8.0,8.0,8.0,8.0,8.0,https://www.coffeereview.com/review/fair-trade-organic-guatemala-maya-ixil-quiche/,,75.0,97.0,False,,,,,,219.964,2008-07-01,,,
93.0,Kakalove Cafe,Honduras Washed Amucap Espresso,"Evaluated as espresso. Dark chocolate, cashew butter, pink grapefruit zest, black cherry, cedar in aroma and small cup. Crisp, velvety mouthfeel; sweetly chocolaty and nut-toned finish. In three parts milk, chocolate and nut impulses harmonize.","Produced by smallholding women farmers of the Asociacion Mujeres, from trees of the Catuaí and IH90 varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","Chocolaty and nut-driven, both in the straight shot and in milk. Resonantly sweet, satisfyingly deep.","Chia-Yi, Taiwan","Masaguara, Intibucá Department, Honduras",Medium-Light,NT $200/8 ounces,2022-10-01,9.0,,8.0,9.0,8.0,https://www.coffeereview.com/review/honduras-washed-amucap-espresso/,9,58.0,77.0,True,8.0,ounces,200.0,TWD,6.29,298.012,2022-10-01,6.63,0.5,13.26
91.0,Cama Cafe,House Blend (Espresso),"Evaluated as espresso. Pungent, deep. Dark chocolate, fresh-cut cedar, hazelnut, rosemary in aroma and small cup. Heavy, syrupy mouthfeel; richly drying finish. Crisply sweet – nuts and chocolate – in three parts milk.",Cama Café is a highly rated Taiwan café chain and coffee roaster. Visit www.camacafe.com or call 866-02-2755-0068 for more information.,,"Taipei, Taiwan",Not disclosed.,Medium-Dark,NT $255/8 ounces,2015-06-01,9.0,,8.0,9.0,7.0,https://www.coffeereview.com/review/house-blend-espresso/,8,40.0,46.0,True,8.0,ounces,255.0,TWD,8.26,238.638,2015-06-01,10.87,0.5,21.74
92.0,Jackrabbit Java,Papua New Guinea Korgua Estate A,"Rich-toned, crisply sweet. Date, caramel, orange zest, freesia, oak in aroma and cup. Briskly sweet acidity; lightly satiny mouthfeel. Quietly inviting finish leads with notes of caramel and orange zest.","Produced by the Leahy family of Korgua Estate and processed by the traditional washed method (fruit skin and pulp removed before drying). Produced Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.","A friendly, familiar PNG cup with notes of sweet fruit, caramel and spice-toned florals complicated by bittersweet citrus zest — and an exceptional value.","Thermopolis, Wyoming","Waghi Valley, Western Highlands, Papua New Guinea",Medium-Light,$14.00/12 ounces,2023-11-01,9.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/papua-new-guinea-korgua-estate-a/,,58.0,76.0,False,12.0,ounces,14.0,USD,14.0,307.051,2023-11-01,14.32,0.75,19.09
93.0,Temple Coffee Roasters,Ethiopia Gora Kone Sidamo,"Fruit-forward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweet-tart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruit-toned finish: think berries enveloped in chocolate, with a hint of mace in the long.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Like most southern Ethiopia coffees, this coffee was produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A playful, unrestrained fruit bomb of a coffee, rich with berry and fudgy chocolate notes throughout.","Sacramento, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,$20.00/12 ounces,2019-01-01,9.0,8.0,9.0,9.0,8.0,https://www.coffeereview.com/review/ethiopia-gora-kone-sidamo/,,55.0,77.0,False,12.0,ounces,20.0,USD,20.0,251.712,2019-01-01,24.96,0.75,33.28
95.0,modcup coffee,Hacienda Esmeralda Ethiopian Accessions,"Bright, balanced, floral-driven. Ginger blossom, red plum, cocoa nib, tangerine zest, fresh-cut oak in aroma and cup. Juicy-sweet structure with lively acidity; plush, syrupy mouthfeel. Cocoa-toned finish with undertones of tangerine zest.","This exceptional coffee was selected as the No. 13 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. A blend of Ethiopian heirloom varieties of Arabica, planted in Panama by the Peterson family of Hacienda Esmeralda and processed by the washed method. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.","An interesting coffee story of heirloom Ethiopia varieties of Arabica grown in Panama — floral, spice-toned, richly sweet.","Jersey City, New Jersey","Boquete, Panama",Light,$25.00/8 ounces,2022-01-01,9.0,9.0,9.0,9.0,9.0,https://www.coffeereview.com/review/hacienda-esmeralda-ethiopian-accessions/,,62.0,80.0,False,8.0,ounces,25.0,USD,25.0,281.148,2022-01-01,27.94,0.5,55.88
87.0,San Francisco Bay Coffee,Colombian Supremo,"Richly roasty and chocolaty, floral-toned. Dark chocolate, scorched cedar, magnolia, raisin, cashew in aroma and cup. Bittersweet structure, with a hint of rounded acidity; full, plump mouthfeel. The drying, resonant finish consolidates to cocoa-toned cashew and smoky aromatic wood notes.",San Francisco Bay Coffee is one of five coffee brands produced by the family-owned Rogers Family Company. Visit www.sfbaycoffee.com or call 800-829-1300 for more information.,A boldly dark-roasted Colombia coffee that accentuates chocolate and deep floral notes with a pretty throughline of cashew-like nut.,"Lincoln, California",Colombia,Medium-Dark,$18.99/2 pounds,2019-05-01,7.0,7.0,8.0,8.0,7.0,https://www.coffeereview.com/review/colombian-supremo-6/,,38.0,52.0,False,2.0,pounds,18.99,USD,18.99,256.092,2019-05-01,23.3,2.0,11.65
92.0,Bonlife Coffee,Ethiopia Tswana,"Bright, gently and lyrically complex. Honey, jasmine-like flowers, kiwi-like fruit, a crisp hint of roasted cacao nib. Delicately bright acidity; buoyant, lightly syrupy mouthfeel. Brisk, lightly flavor-saturated finish.","Produced from a mix of native Ethiopian heirloom varieties and brought into the U.S. by boutique exporter/importer Ninety Plus Coffee. Bonlife Coffee is a quality-oriented small-batch coffee roaster located in Cleveland, Tennessee dedicated to the motto “Drink a Better Story.” Bonlife donates 1% of its sales to a variety of environmental programs through its membership in the “1% for the Planet” movement, as well as contributing to other coffee-associated organizations including Water Missions International and Coffee Kids. Visit www.bonlifecoffee.com or call 423-464-6160 for more information.",,"Cleveland, Tennessee",Southern Ethiopia.,Medium-Light,$14.95/8 ounces,2013-10-01,9.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/ethiopia-tswana/,,58.0,79.0,False,8.0,ounces,14.95,USD,14.95,233.546,2013-10-01,20.11,0.5,40.22
92.0,Equator Coffees,Cold Coffee,"A ready-to-drink black coffee, tested cold. Delicate, sweet-toned. Apricot, almond, lime zest, baking chocolate, maple syrup. Sweet-tart structure with gentle, mild acidity; light, almost feathery mouthfeel. Crisp, subtly sweet-tart finish. Baking chocolate and almond notes bloom in milk, while apricot and lime zest recede.","This coffee tied for the third-highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2020 tasting report. Brewed hot, then flash-chilled and canned. Contains no additives or ingredients other than coffee and water. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.","A tale of two cold coffees: tart and zesty served black, chocolaty and nutty with a splash of whole milk.","San Rafael, California",Sumatra; Kenya; Colombia,,$46.50/12 9.5-ounce cans,2020-07-01,,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/cold-coffee/,9,0.0,0.0,True,,,,,,259.101,2020-07-01,,,
92.0,Paradise Roasters,Kenya Kii Peaberry 2008,"Subtle aromatic notes of sweet citrus fruits and perfume-like blossoms. In the cup, a sweetly-tart citrusy acidity, medium body, and a silky mouthfeel. The flavor balances a floral character with tart lemony citrus and a hint of nut. The finish is delicate and clean with the slightest suggestion of the primary flavor components.","Despite national coffee leadership marked by confusion and recent social disorder, Kenya cooperatives continue to produce some of the world's most elegant and distinctive coffees. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",,"Ramsey, Minnesota",South-central Kenya.,Light,,2008-10-01,8.0,8.0,8.0,8.0,8.0,https://www.coffeereview.com/review/kenya-kii-peaberry-2008/,,57.0,85.0,False,,,,,,216.573,2008-10-01,,,
90.0,Java D'oro Gourmet Coffee,Espresso Supremo,"Evaluated as espresso. Crisp, chocolaty, sweetly nut-toned. Baking chocolate, hazelnut, rhododendron, date, gently scorched oak in aroma and cup. Full velvety mouthfeel. Smoky, nut-toned finish with chocolate undertones. Baking chocolate, hazelnut and scorched oak carry pleasingly into three parts milk.","Java D’oro Gourmet Coffee is a family-owned specialty coffee roaster in Cape Coral, Florida founded by the Latassa family in 1998. Visit www.javadoro.com for more information.","A balanced espresso blend designed as a classic Italian espresso: chocolaty, richly nut-toned, accessible.","Cape Coral, Florida",Not disclosed,Medium-Dark,$12.95/16 ounces,2020-03-01,8.0,,8.0,8.0,8.0,https://www.coffeereview.com/review/espresso-supremo/,8,42.0,54.0,True,16.0,ounces,12.95,USD,12.95,258.115,2020-03-01,15.76,1.0,15.76
88.0,Counter Culture Coffee,Big Trouble,"Quiet; brisk but sweet. Black tea, almond, elm, bergamot, carob in aroma and cup. Round, backgrounded acidity; full, plush mouthfeel. Citrusy finish in the short, carob and elm in the long.","Purchased as whole bean in a 12-ounce bag with one-way degassing valve at a Whole Foods location in northern California. This sample was roasted, roast-dated, and packaged at Counter Culture’s Emeryville, California facility. Counter Culture is a specialty roaster with an informative and lively website, a commitment to fine coffee, direct relationships with growers, transparency, and youthful, enthusiastic leadership. Visit www.counterculturecoffee.com or call 888-238-5282 for more information.",,"Emeryville, California","Los Vascos, Colombia",Medium,$13.99/12 ounces,2016-02-01,8.0,7.0,8.0,8.0,7.0,https://www.coffeereview.com/review/big-trouble/,,52.0,68.0,False,12.0,ounces,13.99,USD,13.99,237.111,2016-02-01,18.54,0.75,24.72
94.0,Revel Coffee,Colombia Lychee Co-Ferment,"Very fruit-forward, richly sweet. Lychee, kiwi, nectarine, freesia, tangerine zest on aroma and cup. Juicy, bright acidity; full, syrupy-smooth mouthfeel. Lychee-laden finish with spicy floral undertones.","Produced by Juan Carlos Mejia of Finca La Secreta, entirely of the Caturra variety of Arabica, and processed by the anaerobic natural method with the addition of lychee to the fermentation. Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount – a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.",A flavor-bomb of a co-fermented anaerobic — Finca La Secreta’s Caturra processed with lychee is for the coffee lover who hasn’t quite yet tried everything.,"Billings, Montana","Ciudad Bolivar, Antioquia, Colombia",Medium-Light,$33.75/12 ounces,2024-06-01,9.0,9.0,9.0,9.0,8.0,https://www.coffeereview.com/review/colombia-finca-la-secreta-lychee/,,59.0,81.0,False,12.0,ounces,33.75,USD,33.75,314.175,2024-06-01,33.75,0.75,45.0
92.0,Bird Rock Coffee Roasters,Guatemala El Socorro Maracaturra,"Lightly rich and zesty. Orange zest, almond butter, sweet, honeysuckle-like flowers, a hint of rosemary in aroma and cup. Delicately brisk acidity; light, satiny mouthfeel. Orange and almond carry into a sweet, savory-edged finish.","Maracaturra is a relatively recently developed cross between the huge-beaned Maragogipe and the compact-growing Caturra varieties of Arabica. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro Roaster of the Year” title from Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",,"La Jolla, California","Palencia, Fraijanes Plateau growing region, central Guatemala",Medium-Light,$23.99/12 ounces,2015-10-01,9.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/guatemala-el-socorro-maracaturra-2/,,61.0,80.0,False,12.0,ounces,23.99,USD,23.99,237.838,2015-10-01,31.69,0.75,42.25
89.0,JBC Coffee Roasters,Guatemala Huehuetenango Fair Trade Organic,"Deep, sweet-toned aroma with cedar and muted hints of flowers, orange and semi-sweet chocolate. In the cup softly acidy, rather full-bodied, with continued hints of flowers and orange- and peach-toned fruit. Rich finish.","Certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"Madison, Wisconsin","Huehuetenango growing region, Guatemala.",Medium-Light,,2007-09-01,8.0,7.0,8.0,8.0,8.0,https://www.coffeereview.com/review/guatemala-huehuetenango-fair-trade-organic-2/,,54.0,73.0,False,,,,,,208.49,2007-09-01,,,
84.0,Caffe Botanica,Wake Up Healthy Asian Ginseng-Infused Decaf,"Richly smoky aroma, with some sweet chocolate- and apricot-toned fruit and wood tones that are just aromatic enough to escape smelling like burned old board. In the cup thin-bodied but smooth in mouthfeel, with pleasantly and delicately smoky wood tones and hints of cedar and semi-sweet chocolate. The finish is simple but clean, sweet and free of astringency, with some faint recollections of chocolate.","Health angle: Decaffeinated coffee infused with Asian ginseng, which contains ginsenocides that supporters claim promote release of energy and contribute to mental alertness and a general sense of well-being. It's not clear to me why the creators of this coffee did not retain the caffeine so that those who drank it would obtain an energy-release twofer, but perhaps ginseng drinkers are suspicious of caffeine. Caffe Botanica small-batch roasts and naturally infuses its coffees with herbs and minerals. Visit www.caffebotanica.com or call 541-349-0243 for more information.",,"Eugene, Oregon",Not Disclosed,Dark,,2005-05-01,7.0,7.0,6.0,7.0,8.0,https://www.coffeereview.com/review/wake-up-healthy-asian-ginseng-infused-decaf/,,26.0,46.0,False,,,,,,194.4,2005-05-01,,,
93.0,Roadmap CoffeeWorks,El Salvador El Mirador,"Richly sweet-savory, citrusy. Cocoa nib, hop flowers, almond, magnolia, key lime in aroma and cup. Crisp, citric acidity; viscous, satiny mouthfeel. Magnolia and cocoa nib are front and center in the gentle finish.","Produced by Jancarlo and Sofia Handtke of Mapache Estate entirely of the big-beaned Pacamara variety of Arabica, and processed by the natural method (dried in the whole fruit). Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 80",Sweet and savory floral notes play with sweet citrus and cocoa nib in this natural-processed El Salvador Pacamara.,"Lexington, Virginia","Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,$22.50/12 ounces,2024-05-01,9.0,8.0,9.0,9.0,8.0,https://www.coffeereview.com/review/el-salvador-el-mirador-2/,,58.0,78.0,False,12.0,ounces,22.5,USD,22.5,314.069,2024-05-01,22.51,0.75,30.01
93.0,States Coffee & Mercantile,Cold Brew,"A ready-to-drink black coffee tested cold. Subtle, nuanced, attractively bittersweet. Dark chocolate, candied tangerine, cashew butter, lilac, cedar. Balanced structure with gentle but vibrant acidity; plush, syrupy-smooth mouthfeel. The brisk finish centers around dark chocolate and cedar notes. Milk particularly enlivens dark chocolate, candied citrus, and cashew notes.","This coffee tied for the second-highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2020 tasting report. Prepared by the cold-brew method, which involves prolonged steeping of ground coffee in cold or room-temperature water and subsequent filtering. Contains no additives or ingredients other than coffee and water. Available at the Martinez, California shop and via home delivery within a 20-mile radius of Martinez. Founded by roaster Keith Gehrke in 2015, States Coffee is a hybrid roastery/cafe and a mercantile that features handmade artisan wares. Visit www.statescoffee.com for more information.","Paradoxically complex and friendly, a labor of love for States’ owner/roaster Keith Gehrke and a spot-on summer pick-me-up.","Martinez, California",Colombia; Guatemala,,$4.00/12-ounce bottle; $20.00/6-pack,2020-07-01,,8.0,9.0,9.0,8.0,https://www.coffeereview.com/review/cold-brew-6/,9,0.0,0.0,True,,,,,,259.101,2020-07-01,,,
87.0,Cafe Arles,French Riviera,"Crisply sweet, chocolaty. Baking chocolate, gently scorched fir, raisin, lily, cashew in aroma and cup. Sweet structure with gentle, round acidity; crisp, velvety mouthfeel. Gently smoky aromatic wood notes and chocolatey cashew characterize the gently drying finish.","A blend of coffees from Brazil, Guatemala and Indonesia. Cafe Arles is a specialty coffee roaster in Hsinchu, Taiwan. Visit www.arlescafe.com for more information.",A darker-roasted blend for those who prefer gentle acidity and a chocolate-toned cup.,"Hsinchu, Taiwan",Brazil; Guatemala; Indonesia,Medium,NT $550/450 grams,2020-08-01,7.0,7.0,8.0,8.0,7.0,https://www.coffeereview.com/review/french-riviera/,,47.0,64.0,False,450.0,grams,550.0,TWD,18.76,259.918,2020-08-01,22.68,0.99,22.91
72.0,The Organic Coffee Co.,Sumatra Mandheling,"""Distinct fruity, pruny carbon tones; not much else,"" I wrote the first time I cupped this coffee. I used almost the same words the second time around. Simply not enough going on here. The carbon is not the thin, burned-out sensation of overdone French roasts, by the way. More the taste of very dark toast with a memory of marmalade.","Tastes of very dark toast with a memory of marmalade, a simple profile. Certified organically grown.",,"Boulder, Colorado",,Medium-Dark,,1997-11-01,5.0,5.0,5.0,4.0,,https://www.coffeereview.com/review/sumatra-mandheling-2/,,43.0,47.0,False,,,,,,161.5,1997-11-01,,,
92.0,Ironclad Coffee Roasters,Tolliver’s Reserve Nicaragua Gold Mountain Fruit Candy Nanolot,"Deeply and richly sweet, fruit-forward. Sweet/sour notes suggesting Jolly Rancher hard candy, pink peppercorn, roasted almond, fresh-cut redwood, lilac in aroma and cup. Bright, sweetly tart structure; plush, syrupy mouthfeel. The finish is candy-like through and through, with undertones of pink peppercorn and aromatic redwood.","This coffee tied for the third-highest rating in a tasting of 55 Nicaragua coffees for Coffee Review‘s October 2017 tasting report. Produced by Manuel and Yesenia Lopez and Juan Carlos and Aracely Salgado, in partnership with Gold Mountain Coffee Growers, entirely from trees of the Pacamara variety of Arabica. This is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Ironclad Coffee Roasters, a micro-roaster in Richmond, Virginia takes its name from “guarantee,” as in an ironclad guarantee of top quality specialty coffee and dedicated customer service. For more information visit www.ironcladcoffee.com.","As the coffee’s name implies, the cup is characterized by notes suggesting tangy hard candy (watermelon, green apple), complicated by sweet-toned spices and aromatic wood.","Richmond, Virginia","Matagalpa growing region, Nicaragua",Light,$18.99/8 ounces,2017-10-01,9.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/tollivers-reserve-nicaragua-gold-mountain-fruit-candy-nanolot/,,67.0,89.0,False,8.0,ounces,18.99,USD,18.99,246.663,2017-10-01,24.19,0.5,48.38
95.0,JBC Coffee Roasters,Ulos Batak Sumatra Peaberry,"Richly and tartly sweet, exotic, complex. Orange, honey and butter in aroma and cup, supported by a crisp backgrounded earth note. Round, gently tart acidity; syrupy mouthfeel. Flavor carries virtually intact into a long, ringing finish.","This exceptional coffee was selected as the #4 coffee in the Coffee Review Top 30 Coffees of 2013. Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” This is a particularly refined example of the type. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"Madison, Wisconsin","Northern Sumatra, Indonesia",Medium,$14.99/12 ounces,2013-05-01,9.0,9.0,8.0,10.0,9.0,https://www.coffeereview.com/review/ulos-batak-sumatra-peaberry/,,52.0,68.0,False,12.0,ounces,14.99,USD,14.99,232.945,2013-05-01,20.22,0.75,26.96
95.0,PT's Coffee Roasting Co.,Ethiopia Sidamo Special Prep,"Complex aroma: distinct strawberry and table grape notes; hints of nut and cocoa. In the cup well-integrated acidity, lightly syrupy mouthfeel, and extraordinary flavor: wine-like and grapy but fresh; think nouveau Beaujolais, supported by ripe strawberry and cocoa. Long, sweet, cleanly grape- and strawberry-toned finish. Only a very, very slight salty unevenness in the cups discouraged an even higher rating for this striking coffee.","Special Prep, in this case, indicates that this is a dry-processed or ""natural"" coffee, meaning the beans were dried inside the fruit rather than after the fruit is removed, as is the case with wet-processed or ""washed"" coffees. Certified organically grown. PT's is a quality-oriented wholesale/retail specialty roaster with a wide and refined selection of coffee blends and origins. The PT's motto is ""without the love, it's just coffee."" Visit www.ptscoffee.com or call 888-678-5282 for more information.",,"Topeka, Kansas","Yirgacheffe growing region, Sidamo Province, southern Ethiopia.",Light,,2008-11-01,9.0,8.0,8.0,9.0,10.0,https://www.coffeereview.com/review/ethiopia-sidamo-special-prep/,,71.0,98.0,False,,,,,,212.425,2008-11-01,,,
93.0,The WestBean Coffee Roasters,Kenya Kiamabara,"Brightly sweet, crisp. Grapefruit zest, lily, cinnamon, blackcurrant, vanilla in aroma and cup. Lively, juicy acidity; satiny-smooth mouthfeel. The rich, deep finish is alive with lily and vanilla suggestions; blackcurrant and grapefruit zest come forward in the long.","Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. The WestBean is a San Diego-based roastery founded by two friends with a passion for coffee and a determination to bring their customers the highest quality hand-crafted coffee possible. Visit www.thewestbean.com or call 619-709-3232 for more information.","A sweet, spicy-crisp, floral-toned Kenya beauty.","San Diego, California","Nyeri growing region, south-central Kenya",Medium-Light,$17.00/12 ounces,2016-08-01,9.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/kenya-kiamabara-2/,,56.0,76.0,False,12.0,ounces,17.0,USD,17.0,240.849,2016-08-01,22.18,0.75,29.57
93.0,Yellow Brick Coffee,Kenya Kamoini Othaya,"Delicately sweet, deeply savory. Red currant, spicy tea rose, black sage, grapefruit zest, cocoa powder in aroma and cup. Crisp, sweet-savory acidity; satiny-smooth mouthfeel. The sweet-toned, lively finish is driven by savory notes of red currant and black sage with hints of tea rose.","Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. This coffee tied for the second-highest rating in a cupping of coffees from roasting companies in the Southwestern United States (Arizona, New Mexico, Texas) for Coffee Review‘s March 2017 tasting report. Yellow Brick Coffee, based in Tucson, Arizona, provides artisan roasts coupled with superior brewing advisory services that serve the individual needs of both wholesale and retail clients. Visit www.yellowbrickcoffee.com for more information.","Pushes the envelope on classic Kenya sweet-savory balance, leaning more toward the savory, though its tart, spicy core is saturated throughout by floral and cocoa notes.","Tucson, Arizona","Nyeri growing region, south-central Kenya",Medium-Light,$18.00/12 ounces,2017-03-01,9.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/kenya-kamoini-othaya/,,60.0,80.0,False,12.0,ounces,18.0,USD,18.0,243.801,2017-03-01,23.2,0.75,30.93
91.0,Flying Goat Coffee,Peru Cochapampa Fair-Trade,"Rather thin aroma, with semi-sweet chocolate hints. In the cup the chocolate turns explicit, crisp and pleasantly cocoaish. The finish is surprisingly rich, with continued cocoa tones and a hint of flowers. The cup generally relaxes and plumps up as it cools.","This coffee is certified organically grown and Fair Trade, meaning it was purchased from the small-holding farmers of the Cochapampa Cooperative at a ""fair"" or economically sustainable price. Flying Goat Coffee is a leading boutique retail/wholesale roaster located in the wine country of northern California. Visit www.flyinggoatcoffee.com or call 800-675-3599 for more information.",,"Healdsberg, California","Quillabamba region, south-central Peru",Medium-Dark,,2007-02-01,7.0,7.0,7.0,8.0,9.0,https://www.coffeereview.com/review/peru-cochapampa-fair-trade/,,44.0,53.0,False,,,,,,203.499,2007-02-01,,,
95.0,Atomic Cafe Coffee Roasters,Kenya Peaberry Deep River Estate,"In the aroma delicately complex: berries, flowers, sweet lemon, honey. In the cup opulent: syrupy mouthfeel, sweet acidity, crisply powerful berry notes, continued hints of honey and flowers. Only a rich but simple finish prevents this coffee from rating in the high 90s.","Despite a confused national coffee leadership, Kenya continues to produce some of the world's most elegant and distinctive coffees. Peaberry is a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Atomic Cafe is a coffee house on the North Shore of Massachusetts that began its in-house roasting program in 2005. Visit www.atomicafe.com or call 978-922-0042 for more information.",,"Beverly, Massachusetts",South-central Kenya.,Medium,,2007-06-01,9.0,8.0,9.0,8.0,7.0,https://www.coffeereview.com/review/kenya-peaberry-deep-river-estate/,,44.0,58.0,False,,,,,,208.352,2007-06-01,,,
